order_id,user_id,full_name,sale_date,product_name,product_category,product_price
1,543,Valentina Torres,2024-09-11,"Sony Bravia 55""",Televisions,1099.0
1,543,Valentina Torres,2024-09-11,Kindle Paperwhite,E-Readers,139.99
1,543,Valentina Torres,2024-09-11,Logitech MX Master 3,Accessories,99.99
1,543,Valentina Torres,2024-09-11,Ninja Air Fryer,Kitchen,119.99
1,543,Valentina Torres,2024-09-11,Apple Magic Keyboard,Accessories,129.99
1,543,Valentina Torres,2024-09-11,Razer Gaming Chair,Gaming,349.0
1,543,Valentina Torres,2024-09-11,Samsung Galaxy S23,Smartphones,849.99
1,543,Valentina Torres,2024-09-11,Fitbit Charge 5,Wearables,149.99
1,543,Valentina Torres,2024-09-11,Samsung Galaxy S23,Smartphones,849.99
1,543,Valentina Torres,2024-09-11,Google Nest Hub,Smart Home,99.99
2,287,Antonia Navarro,2024-09-05,Fitbit Charge 5,Wearables,149.99
2,287,Antonia Navarro,2024-09-05,Fitbit Charge 5,Wearables,149.99
2,287,Antonia Navarro,2024-09-05,iPhone 14,Smartphones,899.99
2,287,Antonia Navarro,2024-09-05,AirPods Pro,Audio,249.0
2,287,Antonia Navarro,2024-09-05,"MacBook Pro 14""",Laptops,1999.0
2,287,Antonia Navarro,2024-09-05,Logitech MX Master 3,Accessories,99.99
2,287,Antonia Navarro,2024-09-05,Instant Pot Duo,Kitchen,89.99
2,287,Antonia Navarro,2024-09-05,Google Nest Hub,Smart Home,99.99
2,287,Antonia Navarro,2024-09-05,Fitbit Charge 5,Wearables,149.99
2,287,Antonia Navarro,2024-09-05,Razer Gaming Chair,Gaming,349.0
3,968,Luis Vargas,2024-12-13,Samsung Galaxy S23,Smartphones,849.99
3,968,Luis Vargas,2024-12-13,Bose QC 45,Audio,329.0
3,968,Luis Vargas,2024-12-13,"MacBook Pro 14""",Laptops,1999.0
3,968,Luis Vargas,2024-12-13,Dell XPS 13,Laptops,1499.0
3,968,Luis Vargas,2024-12-13,Ninja Air Fryer,Kitchen,119.99
3,968,Luis Vargas,2024-12-13,Dell XPS 13,Laptops,1499.0
3,968,Luis Vargas,2024-12-13,Philips Hue Bulb,Smart Home,49.99
3,968,Luis Vargas,2024-12-13,Kindle Paperwhite,E-Readers,139.99
3,968,Luis Vargas,2024-12-13,Apple Magic Keyboard,Accessories,129.99
3,968,Luis Vargas,2024-12-13,Apple Magic Keyboard,Accessories,129.99
4,544,Matías Rodríguez,2024-09-01,"Sony Bravia 55""",Televisions,1099.0
4,544,Matías Rodríguez,2024-09-01,AirPods Pro,Audio,249.0
4,544,Matías Rodríguez,2024-09-01,Samsung Galaxy S23,Smartphones,849.99
4,544,Matías Rodríguez,2024-09-01,Razer Gaming Chair,Gaming,349.0
4,544,Matías Rodríguez,2024-09-01,Apple Magic Keyboard,Accessories,129.99
4,544,Matías Rodríguez,2024-09-01,"Sony Bravia 55""",Televisions,1099.0
4,544,Matías Rodríguez,2024-09-01,iPhone 14,Smartphones,899.99
4,544,Matías Rodríguez,2024-09-01,Apple Magic Keyboard,Accessories,129.99
4,544,Matías Rodríguez,2024-09-01,Logitech MX Master 3,Accessories,99.99
4,544,Matías Rodríguez,2024-09-01,Apple Magic Keyboard,Accessories,129.99
5,150,Andrés Rodríguez,2025-06-28,Kindle Paperwhite,E-Readers,139.99
5,150,Andrés Rodríguez,2025-06-28,iPhone 14,Smartphones,899.99
5,150,Andrés Rodríguez,2025-06-28,Philips Hue Bulb,Smart Home,49.99
5,150,Andrés Rodríguez,2025-06-28,AirPods Pro,Audio,249.0
5,150,Andrés Rodríguez,2025-06-28,Kindle Paperwhite,E-Readers,139.99
5,150,Andrés Rodríguez,2025-06-28,Logitech MX Master 3,Accessories,99.99
5,150,Andrés Rodríguez,2025-06-28,Apple Watch Series 8,Wearables,399.0
5,150,Andrés Rodríguez,2025-06-28,"MacBook Pro 14""",Laptops,1999.0
5,150,Andrés Rodríguez,2025-06-28,GoPro HERO11,Cameras,499.0
5,150,Andrés Rodríguez,2025-06-28,Ninja Air Fryer,Kitchen,119.99
6,206,María Castro,2025-07-14,Canon EOS M50,Cameras,679.0
6,206,María Castro,2025-07-14,Dell XPS 13,Laptops,1499.0
6,206,María Castro,2025-07-14,"Sony Bravia 55""",Televisions,1099.0
6,206,María Castro,2025-07-14,Philips Hue Bulb,Smart Home,49.99
6,206,María Castro,2025-07-14,"Sony Bravia 55""",Televisions,1099.0
6,206,María Castro,2025-07-14,AirPods Pro,Audio,249.0
6,206,María Castro,2025-07-14,"Sony Bravia 55""",Televisions,1099.0
6,206,María Castro,2025-07-14,Logitech MX Master 3,Accessories,99.99
6,206,María Castro,2025-07-14,Canon EOS M50,Cameras,679.0
6,206,María Castro,2025-07-14,Apple Magic Keyboard,Accessories,129.99
7,267,Catalina Pérez,2024-12-19,Instant Pot Duo,Kitchen,89.99
7,267,Catalina Pérez,2024-12-19,Kindle Paperwhite,E-Readers,139.99
7,267,Catalina Pérez,2024-12-19,Ninja Air Fryer,Kitchen,119.99
7,267,Catalina Pérez,2024-12-19,Google Nest Hub,Smart Home,99.99
7,267,Catalina Pérez,2024-12-19,Instant Pot Duo,Kitchen,89.99
7,267,Catalina Pérez,2024-12-19,"Samsung QLED 65""",Televisions,1299.0
7,267,Catalina Pérez,2024-12-19,Ninja Air Fryer,Kitchen,119.99
7,267,Catalina Pérez,2024-12-19,Google Nest Hub,Smart Home,99.99
7,267,Catalina Pérez,2024-12-19,"MacBook Pro 14""",Laptops,1999.0
7,267,Catalina Pérez,2024-12-19,Logitech MX Master 3,Accessories,99.99
8,801,Josefa Silva,2025-04-23,"Sony Bravia 55""",Televisions,1099.0
8,801,Josefa Silva,2025-04-23,"Sony Bravia 55""",Televisions,1099.0
8,801,Josefa Silva,2025-04-23,GoPro HERO11,Cameras,499.0
8,801,Josefa Silva,2025-04-23,Instant Pot Duo,Kitchen,89.99
8,801,Josefa Silva,2025-04-23,"MacBook Pro 14""",Laptops,1999.0
8,801,Josefa Silva,2025-04-23,"MacBook Pro 14""",Laptops,1999.0
8,801,Josefa Silva,2025-04-23,Samsung Galaxy S23,Smartphones,849.99
8,801,Josefa Silva,2025-04-23,Instant Pot Duo,Kitchen,89.99
8,801,Josefa Silva,2025-04-23,"MacBook Pro 14""",Laptops,1999.0
8,801,Josefa Silva,2025-04-23,Bose QC 45,Audio,329.0
9,927,Benjamín Fuentes,2025-04-26,"Sony Bravia 55""",Televisions,1099.0
