user_id,first_name,last_name,gender,country,username,email,phone_number,status
1,Fernanda,González,F,Talca,fernanda_gonzlez_1,fernanda.gonzlez1@example.com,+56 9 67567809,active
2,María,González,F,Linares,mara_gonzlez_2,mara.gonzlez2@example.com,+56 9 69813858,active
3,Catalina,Flores,F,Valparaiso,catalina_flores_3,catalina.flores3@example.com,+56 9 61001450,inactive
4,Carlos,Sánchez,M,Curicó,carlos_snchez_4,carlos.snchez4@example.com,+56 9 33354987,active
5,Daniela,Díaz,F,Valparaiso,daniela_daz_5,daniela.daz5@example.com,+56 9 03007362,active
6,Diego,Díaz,M,Viña del Mar,diego_daz_6,diego.daz6@example.com,+56 9 42503542,inactive
7,Antonia,Sánchez,F,San Fernando,antonia_snchez_7,antonia.snchez7@example.com,+56 9 49466471,active
8,Diego,Sánchez,M,Linares,diego_snchez_8,diego.snchez8@example.com,+56 9 90576282,inactive
9,Carlos,Flores,M,Linares,carlos_flores_9,carlos.flores9@example.com,+56 9 26898973,inactive
10,Andrés,Navarro,M,Talca,andrs_navarro_10,andrs.navarro10@example.com,+56 9 97768604,active
11,Josefa,Reyes,F,Linares,josefa_reyes_11,josefa.reyes11@example.com,+56 9 56676673,active
12,Andrés,Díaz,M,Viña del Mar,andrs_daz_12,andrs.daz12@example.com,+56 9 28984919,active
13,Jorge,López,M,Viña del Mar,jorge_lpez_13,jorge.lpez13@example.com,+56 9 92036738,inactive
14,María,Morales,F,Rancagua,mara_morales_14,mara.morales14@example.com,+56 9 05536238,inactive
15,Luis,Castro,M,Parral,luis_castro_15,luis.castro15@example.com,+56 9 56260724,inactive
16,Jorge,Flores,M,Talca,jorge_flores_16,jorge.flores16@example.com,+56 9 93557058,active
17,Andrés,Sánchez,M,Viña del Mar,andrs_snchez_17,andrs.snchez17@example.com,+56 9 20944193,active
18,Matías,Romero,M,Curicó,matas_romero_18,matas.romero18@example.com,+56 9 75575603,active
19,Carlos,González,M,Curicó,carlos_gonzlez_19,carlos.gonzlez19@example.com,+56 9 68606414,active
20,Catalina,Morales,F,Curicó,catalina_morales_20,catalina.morales20@example.com,+56 9 47401346,active
21,Antonia,Fuentes,F,Valparaiso,antonia_fuentes_21,antonia.fuentes21@example.com,+56 9 82656774,active
22,Jorge,Silva,M,Viña del Mar,jorge_silva_22,jorge.silva22@example.com,+56 9 65325749,inactive
23,María,Pérez,F,Santiago,mara_prez_23,mara.prez23@example.com,+56 9 60946609,inactive
24,Antonia,Pérez,F,Parral,antonia_prez_24,antonia.prez24@example.com,+56 9 41294006,inactive
25,Andrés,Reyes,M,Santiago,andrs_reyes_25,andrs.reyes25@example.com,+56 9 19084859,active
26,Valentina,González,F,Puerto Montt,valentina_gonzlez_26,valentina.gonzlez26@example.com,+56 9 15857009,inactive
27,Ignacio,Torres,M,Curicó,ignacio_torres_27,ignacio.torres27@example.com,+56 9 05796368,inactive
28,Luis,González,M,Linares,luis_gonzlez_28,luis.gonzlez28@example.com,+56 9 31817785,inactive
29,Josefa,Torres,F,Talca,josefa_torres_29,josefa.torres29@example.com,+56 9 82759635,active
30,Luis,Morales,M,Rancagua,luis_morales_30,luis.morales30@example.com,+56 9 19914637,inactive
31,Carlos,Rodríguez,M,Parral,carlos_rodrguez_31,carlos.rodrguez31@example.com,+56 9 08187960,inactive
32,Camila,Morales,F,Santiago,camila_morales_32,camila.morales32@example.com,+56 9 98966646,active
33,Valentina,Romero,F,Valparaiso,valentina_romero_33,valentina.romero33@example.com,+56 9 28866713,active
34,Florencia,González,F,Talca,florencia_gonzlez_34,florencia.gonzlez34@example.com,+56 9 22510614,inactive
35,Matías,Navarro,M,Viña del Mar,matas_navarro_35,matas.navarro35@example.com,+56 9 76451617,inactive
36,Jorge,Reyes,M,Santiago,jorge_reyes_36,jorge.reyes36@example.com,+56 9 77669759,active
37,Sebastián,Sánchez,M,Rancagua,sebastin_snchez_37,sebastin.snchez37@example.com,+56 9 72754838,active
38,Florencia,Castro,F,Talca,florencia_castro_38,florencia.castro38@example.com,+56 9 37511824,active
39,Matías,Navarro,M,Santiago,matas_navarro_39,matas.navarro39@example.com,+56 9 43275063,inactive
40,Sebastián,Vargas,M,Talca,sebastin_vargas_40,sebastin.vargas40@example.com,+56 9 01661714,active
41,Florencia,Torres,F,Rancagua,florencia_torres_41,florencia.torres41@example.com,+56 9 54494798,active
42,Fernanda,Sánchez,F,Puerto Montt,fernanda_snchez_42,fernanda.snchez42@example.com,+56 9 73868077,active
